販売名,一般名,薬効分類,相互作用
サラゾスルファピリジン錠500mg「サワイ」,サラゾスルファピリジン,抗リウマチ薬,"サラゾスルファピリジン,葉酸"
ブシラミン錠100mg「タイヨー」,ブシラミン,抗リウマチ薬,"ブシラミン,金製剤"
ペニシラミン錠125mg「サワイ」,ペニシラミン,抗リウマチ薬,"ペニシラミン,金製剤"
アモキシシリン錠250mg「タイヨー」,アモキシシリン,抗生物質,"ワルファリン,アモキシシリン"
セファレキシン錠250mg「サワイ」,セファレキシン,抗生物質,"ワルファリン,セファレキシン"
エリスロマイシン錠200mg「タイヨー」,エリスロマイシン,抗生物質,"ワルファリン,エリスロマイシン"
クラリスロマイシン錠200mg「サワイ」,クラリスロマイシン,抗生物質,"ワルファリン,クラリスロマイシン"
アジスロマイシン錠250mg「タイヨー」,アジスロマイシン,抗生物質,"ワルファリン,アジスロマイシン"
ドキシサイクリン塩酸塩錠100mg「サワイ」,ドキシサイクリン塩酸塩,抗生物質,"ワルファリン,ドキシサイクリン"
ミノサイクリン塩酸塩錠100mg「タイヨー」,ミノサイクリン塩酸塩,抗生物質,"ワルファリン,ミノサイクリン"
レボフロキサシン錠100mg「サワイ」,レボフロキサシン,抗生物質,"ワルファリン,レボフロキサシン"
シプロフロキサシン塩酸塩錠100mg「タイヨー」,シプロフロキサシン塩酸塩,抗生物質,"ワルファリン,シプロフロキサシン"
ノルフロキサシン錠100mg「サワイ」,ノルフロキサシン,抗生物質,"ワルファリン,ノルフロキサシン"
バンコマイシン塩酸塩注射用500mg「タイヨー」,バンコマイシン塩酸塩,抗生物質,"ワルファリン,バンコマイシン"
テイコプラニン注射用200mg「サワイ」,テイコプラニン,抗生物質,"ワルファリン,テイコプラニン"
メロペネム注射用500mg「タイヨー」,メロペネム,抗生物質,"ワルファリン,メロペネム"
イミペネム・シラスタチンナトリウム注射用250mg「タイヨー」,イミペネム・シラスタチンナトリウム,抗生物質,"ワルファリン,イミペネム"
セフトリアキソンナトリウム注射用1g「サワイ」,セフトリアキソンナトリウム,抗生物質,"ワルファリン,セフトリアキソン"
フルオキセチン塩酸塩錠20mg「タイヨー」,フルオキセチン塩酸塩,抗うつ薬,"ワルファリン,フルオキセチン"
パロキセチン塩酸塩錠20mg「サワイ」,パロキセチン塩酸塩,抗うつ薬,"ワルファリン,パロキセチン"
セルトラリン塩酸塩錠50mg「タイヨー」,セルトラリン塩酸塩,抗うつ薬,"ワルファリン,セルトラリン"
エスシタロプラムシュウ酸塩錠10mg「サワイ」,エスシタロプラムシュウ酸塩,抗うつ薬,"ワルファリン,エスシタロプラム"
ベンラファキシン塩酸塩錠37.5mg「タイヨー」,ベンラファキシン塩酸塩,抗うつ薬,"ワルファリン,ベンラファキシン"
デュロキセチン塩酸塩錠30mg「サワイ」,デュロキセチン塩酸塩,抗うつ薬,"ワルファリン,デュロキセチン"
アリピプラゾール錠3mg「タイヨー」,アリピプラゾール,抗精神病薬,"ワルファリン,アリピプラゾール"
リスペリドン錠1mg「サワイ」,リスペリドン,抗精神病薬,"ワルファリン,リスペリドン"
オランザピン錠5mg「タイヨー」,オランザピン,抗精神病薬,"ワルファリン,オランザピン"
クエチアピンフマル酸塩錠25mg「サワイ」,クエチアピンフマル酸塩,抗精神病薬,"ワルファリン,クエチアピン"
テオフィリン錠100mg「タイヨー」,テオフィリン,気管支拡張薬,"ワルファリン,テオフィリン"
サルブタモール硫酸塩錠2mg「サワイ」,サルブタモール硫酸塩,気管支拡張薬,"ワルファリン,サルブタモール"
フォルモテロールフマル酸塩錠40μg「タイヨー」,フォルモテロールフマル酸塩,気管支拡張薬,"ワルファリン,フォルモテロール"
サルメテロールキシナホ酸塩錠50μg「サワイ」,サルメテロールキシナホ酸塩,気管支拡張薬,"ワルファリン,サルメテロール"
ブデソニド錠0.5mg「タイヨー」,ブデソニド,吸入ステロイド薬,"ワルファリン,ブデソニド"
フルチカゾンプロピオン酸エステル錠100μg「サワイ」,フルチカゾンプロピオン酸エステル,吸入ステロイド薬,"ワルファリン,フルチカゾン"
モンテルカストナトリウム錠5mg「タイヨー」,モンテルカストナトリウム,ロイコトリエン受容体拮抗薬,"ワルファリン,モンテルカスト"
ザフィルルカスト錠20mg「タイヨー」,ザフィルルカスト,ロイコトリエン受容体拮抗薬,"ワルファリン,ザフィルルカスト"
アセチルシステイン錠200mg「サワイ」,アセチルシステイン,去痰薬,"ワルファリン,アセチルシステイン"
カルボシステイン錠250mg「タイヨー」,カルボシステイン,去痰薬,"ワルファリン,カルボシステイン"
フィナステリド錠1mg「タイヨー」,フィナステリド,前立腺肥大症治療薬,"ワルファリン,フィナステリド"
デュタステリド錠0.5mg「サワイ」,デュタステリド,前立腺肥大症治療薬,"ワルファリン,デュタステリド"
タムスロシン塩酸塩錠0.2mg「タイヨー」,タムスロシン塩酸塩,前立腺肥大症治療薬,"ワルファリン,タムスロシン"
シルドシン錠4mg「サワイ」,シルドシン,前立腺肥大症治療薬,"ワルファリン,シルドシン"
ナフトピジル錠25mg「タイヨー」,ナフトピジル,前立腺肥大症治療薬,"ワルファリン,ナフトピジル"
ウラピジル錠30mg「タイヨー」,ウラピジル,前立腺肥大症治療薬,"ワルファリン,ウラピジル"
フロセミド錠20mg「サワイ」,フロセミド,利尿薬,"ワルファリン,フロセミド"
スピロノラクトン錠25mg「タイヨー」,スピロノラクトン,利尿薬,"ワルファリン,スピロノラクトン"
ヒドロクロロチアジド錠25mg「サワイ」,ヒドロクロロチアジド,利尿薬,"ワルファリン,ヒドロクロロチアジド"
アミロライド塩酸塩錠5mg「タイヨー」,アミロライド塩酸塩,利尿薬,"ワルファリン,アミロライド"
ワルファリンカリウム錠1mg「サワイ」,ワルファリンカリウム,抗凝固薬,"アスピリン,NSAIDs"
ヘパリンナトリウム注射用5000単位「タイヨー」,ヘパリンナトリウム,抗凝固薬,"ワルファリン,ヘパリン"
エノキサパリンナトリウム注射用2000単位「サワイ」,エノキサパリンナトリウム,抗凝固薬,"ワルファリン,エノキサパリン"
ダビガトランエテキシラートメタンスルホン酸塩錠110mg「タイヨー」,ダビガトランエテキシラートメタンスルホン酸塩,抗凝固薬,"ワルファリン,ダビガトラン"
リバーロキサバン錠10mg「サワイ」,リバーロキサバン,抗凝固薬,"ワルファリン,リバーロキサバン"
アピキサバン錠2.5mg「タイヨー」,アピキサバン,抗凝固薬,"ワルファリン,アピキサバン"
エドキサバントシル酸塩錠30mg「サワイ」,エドキサバントシル酸塩,抗凝固薬,"ワルファリン,エドキサバン"
フェニトイン錠100mg「タイヨー」,フェニトイン,抗てんかん薬,"ワルファリン,フェニトイン"
カルバマゼピン錠200mg「サワイ」,カルバマゼピン,抗てんかん薬,"ワルファリン,カルバマゼピン"
バルプロ酸ナトリウム錠200mg「タイヨー」,バルプロ酸ナトリウム,抗てんかん薬,"ワルファリン,バルプロ酸"
オルメサルタンメドキソミル錠20mg「サワイ」,オルメサルタンメドキソミル,ARB,"カリウム保持性利尿薬,NSAIDs"
バルサルタン錠80mg「サワイ」,バルサルタン,ARB,"カリウム保持性利尿薬,NSAIDs"
カンデサルタンシレキセチル錠8mg「サワイ」,カンデサルタンシレキセチル,ARB,"カリウム保持性利尿薬,NSAIDs"
テルミサルタン錠40mg「サワイ」,テルミサルタン,ARB,"カリウム保持性利尿薬,NSAIDs"
アジルサルタン錠20mg「サワイ」,アジルサルタン,ARB,"カリウム保持性利尿薬,NSAIDs"
アムロジピンベシル酸塩錠5mg「サワイ」,アムロジピンベシル酸塩,Ca拮抗薬,グレープフルーツジュース
ニフェジピンCR錠20mg「サワイ」,ニフェジピン,Ca拮抗薬,グレープフルーツジュース
ベニジピン塩酸塩錠4mg「サワイ」,ベニジピン塩酸塩,Ca拮抗薬,グレープフルーツジュース
シルニジピン錠10mg「サワイ」,シルニジピン,Ca拮抗薬,グレープフルーツジュース
エナラプリルマレイン酸塩錠5mg「サワイ」,エナラプリルマレイン酸塩,ACE阻害薬,NSAIDs
リシノプリル錠10mg「サワイ」,リシノプリル,ACE阻害薬,NSAIDs
ペリンドプリルエルブミン錠2mg「サワイ」,ペリンドプリルエルブミン,ACE阻害薬,NSAIDs
アリスキレンフマル酸塩錠150mg「サワイ」,アリスキレンフマル酸塩,レニン阻害薬,シクロスポリン
ドキサゾシンメシル酸塩錠1mg「サワイ」,ドキサゾシンメシル酸塩,α遮断薬,他の降圧薬
プラゾシン塩酸塩錠1mg「サワイ」,プラゾシン塩酸塩,α遮断薬,他の降圧薬
メトプロロール酒石酸塩錠20mg「サワイ」,メトプロロール酒石酸塩,β遮断薬,CYP2D6阻害薬
ビソプロロールフマル酸塩錠2.5mg「サワイ」,ビソプロロールフマル酸塩,β遮断薬,CYP2D6阻害薬
カルベジロール錠5mg「サワイ」,カルベジロール,β遮断薬,CYP2D6阻害薬
アトルバスタチンカルシウム錠20mg「サワイ」,アトルバスタチンカルシウム,スタチン,シクロスポリン
ロスバスタチンカルシウム錠5mg「サワイ」,ロスバスタチンカルシウム,スタチン,シクロスポリン
シンバスタチン錠10mg「サワイ」,シンバスタチン,スタチン,シクロスポリン
エゼチミブ錠10mg「サワイ」,エゼチミブ,コレステロール吸収阻害薬,コレスチラミン
フェノフィブラート錠100mg「サワイ」,フェノフィブラート,フィブラート,ワルファリン
ベザフィブラート錠200mg「サワイ」,ベザフィブラート,フィブラート,ワルファリン
メトホルミン塩酸塩錠500mg「サワイ」,メトホルミン塩酸塩,ビグアナイド,アルコール
グリベンクラミド錠2.5mg「サワイ」,グリベンクラミド,スルホニルウレア,ワルファリン
グリクラジド錠80mg「サワイ」,グリクラジド,スルホニルウレア,ワルファリン
グリメピリド錠3mg「サワイ」,グリメピリド,スルホニルウレア,ワルファリン
ピオグリタゾン塩酸塩錠30mg「サワイ」,ピオグリタゾン塩酸塩,チアゾリジン,インスリン
シタグリプチンリン酸塩錠50mg「サワイ」,シタグリプチンリン酸塩,DPP-4阻害薬,CYP3A4阻害薬
リナグリプチン錠10mg「サワイ」,リナグリプチン,DPP-4阻害薬,CYP3A4阻害薬
アログリプチン安息香酸塩錠25mg「サワイ」,アログリプチン安息香酸塩,DPP-4阻害薬,CYP3A4阻害薬
テネリグリプチン臭化水素酸塩錠40mg「サワイ」,テネリグリプチン臭化水素酸塩,DPP-4阻害薬,CYP3A4阻害薬
